matchNo,Date,Time,Team1,Team2,Score1,Score2
215,26.10.2023,18:00,Al Khaleej,Al-Taawon,1,1
216,26.10.2023,18:00,Damk,Al-Okhdood,2,0
217,22.10.2023,18:00,Al Riyadh,Al-Ettifaq,1,0
218,21.10.2023,21:00,Al-Shabab,Al Taee,2,0
219,21.10.2023,21:00,Al Ahli SC,Al Wehda,3,1
220,21.10.2023,18:00,Al-Hazem,Al-Raed,4,3
221,21.10.2023,18:00,Al-Nassr,Damk,2,1
222,20.10.2023,21:00,Al-Fateh,Abha,4,1
223,20.10.2023,21:00,Al-Hilal,Al Khaleej,1,0
224,20.10.2023,18:00,Al-Okhdood,Al Feiha,1,2
225,20.10.2023,18:00,Al-Taawon,Al-Ittihad FC,1,1
226,07.10.2023,21:00,Al Wehda,Al Feiha,1,1
227,07.10.2023,21:00,Al Khaleej,Al-Raed,0,0
228,07.10.2023,18:00,Al-Okhdood,Al-Hilal,0,3
229,06.10.2023,21:00,Al-Ittihad FC,Al Ahli SC,0,1
230,06.10.2023,18:00,Al-Nassr,Abha,2,2
231,05.10.2023,21:00,Al-Ettifaq,Al-Fateh,1,2
232,05.10.2023,18:00,Al Riyadh,Al-Shabab,2,2
233,05.10.2023,18:00,Al-Taawon,Al Taee,3,0
234,05.10.2023,15:00,Damk,Al-Hazem,4,1
235,30.09.2023,21:00,Al Khaleej,Damk,0,2
236,30.09.2023,21:00,Al Ahli SC,Al-Ettifaq,0,0
237,30.09.2023,18:00,Al-Fateh,Al Wehda,5,1
238,30.09.2023,18:00,Al-Raed,Al-Okhdood,1,2
239,30.09.2023,15:00,Abha,Al Riyadh,0,1
240,29.09.2023,21:00,Al-Hilal,Al-Shabab,2,0
241,29.09.2023,18:00,Al Feiha,Al-Ittihad FC,0,0
242,29.09.2023,18:00,Al Taee,Al-Nassr,1,2
243,29.09.2023,18:00,Al-Hazem,Al-Taawon,1,3
244,22.09.2023,21:00,Al Wehda,Abha,4,0
245,22.09.2023,21:00,Al-Nassr,Al Ahli SC,4,3
246,22.09.2023,18:00,Al Riyadh,Al Feiha,1,3
247,22.09.2023,18:00,Al-Okhdood,Al Khaleej,0,1
248,21.09.2023,21:00,Al-Shabab,Al-Hazem,4,1
249,21.09.2023,21:00,Al-Ittihad FC,Al-Fateh,2,1
250,21.09.2023,18:00,Al-Ettifaq,Al Taee,4,3
251,21.09.2023,18:00,Al-Taawon,Al-Raed,2,1
252,21.09.2023,18:00,Damk,Al-Hilal,1,1
