"matchNo","Date","Time","Team1","Team2","Score1","Score2","Season"
117,"21.03.2001","20:00","Al Ahli SC","Al Riyadh",5,1,"2000-2001"
118,"22.03.2001","20:00","Al-Shabab","Al-Hilal",1,2,"2000-2001"
119,"22.03.2001","20:00","Al Qadisiya","Al-Ettifaq",2,2,"2000-2001"
120,"22.03.2001","20:00","Al Najma","Sdoos",1,0,"2000-2001"
121,"25.03.2001","19:00","Al Riyadh","Al Ansar",3,0,"2000-2001"
122,"25.03.2001","19:00","Al Ahli SC","Al-Nassr",4,2,"2000-2001"
123,"26.03.2001","19:00","Sdoos","Al-Ettifaq",3,2,"2000-2001"
124,"26.03.2001","19:00","Al-Ittihad FC","Al-Shabab",0,0,"2000-2001"
125,"26.03.2001","19:00","Al-Hilal","Al Qadisiya",2,2,"2000-2001"
126,"26.03.2001","19:00","Al Wehda","Al Najma",1,2,"2000-2001"
127,"04.04.2001","19:00","Al-Shabab","Al Qadisiya",3,1,"2000-2001"
128,"04.04.2001","19:00","Al-Ettifaq","Al Wehda",3,2,"2000-2001"
129,"04.04.2001","19:00","Al Najma","Al Riyadh",2,1,"2000-2001"
130,"05.04.2001","19:00","Al-Ittihad FC","Al Ahli SC",1,3,"2000-2001"
131,"10.04.2001","19:00","Sdoos","Al-Hilal",1,2,"2000-2001"
132,"10.04.2001","19:00","Al Ansar","Al-Nassr",3,2,"2000-2001"
133,"18.04.2001","18:30","Al Ahli SC","Al-Ittihad FC",0,0,"2000-2001"
134,"19.04.2001","18:30","Al-Hilal","Al-Nassr",0,1,"2000-2001"
135,"25.04.2001","18:30","Al-Ittihad FC","Al Ahli SC",4,2,"2000-2001"
136,"26.04.2001","18:30","Al-Nassr","Al-Hilal",0,0,"2000-2001"
137,"09.05.2001","18:30","Al-Ittihad FC","Al-Nassr",1,0,"2000-2001"
1,"10.10.2001","19:00","Al-Shoalah","Al-Ittihad FC",2,1,"2001-2002"
2,"10.10.2001","19:00","Al-Ettifaq","Al Riyadh",2,1,"2001-2002"
3,"10.10.2001","19:00","Al Wehda","Al-Hilal",1,2,"2001-2002"
4,"11.10.2001","19:00","Al-Nassr","Al Taee",2,1,"2001-2002"
5,"11.10.2001","19:00","Al Najma","Al Ahli SC",0,1,"2001-2002"
6,"12.10.2001","19:00","Al-Shabab","Al Ansar",1,1,"2001-2002"
7,"14.10.2001","19:00","Al-Ettifaq","Al-Ittihad FC",1,3,"2001-2002"
8,"17.10.2001","19:00","Al-Ittihad FC","Al Taee",4,1,"2001-2002"
9,"17.10.2001","19:00","Al-Ettifaq","Al Ahli SC",0,4,"2001-2002"
10,"17.10.2001","19:00","Al Wehda","Al-Nassr",0,1,"2001-2002"
11,"17.10.2001","19:00","Al Ansar","Al Riyadh",0,2,"2001-2002"
12,"18.10.2001","19:00","Al-Shoalah","Al Najma",2,0,"2001-2002"
13,"18.10.2001","19:00","Al-Hilal","Al-Shabab",1,0,"2001-2002"
14,"23.10.2001","19:00","Al-Shoalah","Al Riyadh",3,3,"2001-2002"
15,"23.10.2001","19:00","Al Najma","Al-Hilal",0,0,"2001-2002"
16,"23.10.2001","19:00","Al Ahli SC","Al-Ittihad FC",1,2,"2001-2002"
17,"25.10.2001","19:00","Al-Shoalah","Al-Ettifaq",3,1,"2001-2002"
18,"25.10.2001","19:00","Al-Shabab","Al-Nassr",0,3,"2001-2002"
19,"26.10.2001","19:00","Al-Ittihad FC","Al Najma",4,0,"2001-2002"
20,"26.10.2001","19:00","Al Taee","Al Wehda",0,2,"2001-2002"
21,"26.10.2001","19:00","Al Riyadh","Al-Hilal",2,2,"2001-2002"
22,"26.10.2001","19:00","Al Ansar","Al Ahli SC",1,0,"2001-2002"
23,"31.10.2001","20:00","Al-Nassr","Al Riyadh",0,1,"2001-2002"
24,"31.10.2001","20:00","Al-Ettifaq","Al Najma",3,2,"2001-2002"
25,"31.10.2001","20:00","Al Wehda","Al-Ittihad FC",0,4,"2001-2002"
26,"31.10.2001","20:00","Al Ahli SC","Al-Hilal",2,4,"2001-2002"
27,"01.11.2001","20:00","Al-Shoalah","Al Ansar",2,1,"2001-2002"
28,"01.11.2001","20:00","Al Taee","Al-Shabab",1,2,"2001-2002"
29,"04.11.2001","20:00","Al-Nassr","Al-Ittihad FC",1,1,"2001-2002"
30,"04.11.2001","20:00","Al Taee","Al-Hilal",0,4,"2001-2002"
31,"05.11.2001","20:00","Al Ahli SC","Al Riyadh",3,0,"2001-2002"
32,"07.11.2001","20:00","Al Riyadh","Al Taee",3,2,"2001-2002"
33,"08.11.2001","20:00","Al-Shoalah","Al-Hilal",0,0,"2001-2002"
34,"08.11.2001","20:00","Al-Shabab","Al Wehda",1,1,"2001-2002"
35,"08.11.2001","20:00","Al Ansar","Al Najma",2,1,"2001-2002"
36,"08.11.2001","20:00","Al Ahli SC","Al-Nassr",2,1,"2001-2002"
37,"13.11.2001","20:00","Al-Nassr","Al-Shoalah",2,0,"2001-2002"
38,"13.11.2001","20:00","Al Wehda","Al Riyadh",2,2,"2001-2002"
39,"13.11.2001","20:00","Al Ahli SC","Al Taee",3,1,"2001-2002"
40,"14.11.2001","20:00","Al-Shabab","Al-Ittihad FC",0,0,"2001-2002"
41,"14.11.2001","20:00","Al-Ettifaq","Al Ansar",1,1,"2001-2002"
42,"18.11.2001","20:00","Al Riyadh","Al-Shabab",0,1,"2001-2002"
43,"18.11.2001","20:00","Al Najma","Al-Nassr",0,3,"2001-2002"
44,"18.11.2001","20:00","Al Ahli SC","Al Wehda",1,1,"2001-2002"
45,"19.11.2001","20:00","Al-Ittihad FC","Al Ansar",5,2,"2001-2002"
46,"19.11.2001","20:00","Al-Hilal","Al-Ettifaq",3,0,"2001-2002"
47,"19.11.2001","20:00","Al Taee","Al-Shoalah",0,1,"2001-2002"
48,"23.11.2001","20:00","Al Najma","Al Taee",2,1,"2001-2002"
