"matchNo","Date","Time","Team1","Team2","Score1","Score2","Season"
45,"20.11.2015","17:50","Al-Faisaly","Al-Raed",2,2,"2015-2016"
46,"20.11.2015","20:10","Najran","Hajer",2,0,"2015-2016"
47,"21.11.2015","17:30","Al Qadisiya","Al-Shabab",0,1,"2015-2016"
48,"21.11.2015","17:45","Al-Hilal","Al Khaleej",7,0,"2015-2016"
49,"21.11.2015","17:55","Al-Taawon","Al-Nassr",3,3,"2015-2016"
50,"22.11.2015","20:10","Al-Ittihad FC","Al Ahli SC",0,3,"2015-2016"
51,"25.11.2015","17:30","Hajer","Al-Taawon",1,4,"2015-2016"
52,"25.11.2015","20:00","Al-Raed","Al Wehda",1,0,"2015-2016"
53,"26.11.2015","17:45","Al-Nassr","Al-Fateh",3,1,"2015-2016"
54,"26.11.2015","20:00","Al Ahli SC","Al-Faisaly",1,1,"2015-2016"
55,"27.11.2015","17:30","Al Khaleej","Al-Ittihad FC",2,2,"2015-2016"
56,"27.11.2015","20:00","Al-Shabab","Al-Hilal",0,1,"2015-2016"
57,"28.11.2015","19:40","Najran","Al Qadisiya",1,1,"2015-2016"
58,"03.12.2015","17:50","Al-Raed","Al-Nassr",0,0,"2015-2016"
59,"03.12.2015","20:00","Al Wehda","Al Qadisiya",1,0,"2015-2016"
60,"03.12.2015","20:00","Al Ahli SC","Hajer",1,0,"2015-2016"
61,"04.12.2015","17:30","Al-Fateh","Al-Taawon",1,0,"2015-2016"
62,"04.12.2015","17:45","Al-Faisaly","Al Khaleej",1,2,"2015-2016"
63,"04.12.2015","20:00","Al-Ittihad FC","Al-Shabab",2,1,"2015-2016"
64,"04.12.2015","20:00","Al-Hilal","Najran",2,0,"2015-2016"
65,"09.12.2015","18:20","Najran","Al-Faisaly",0,1,"2015-2016"
66,"09.12.2015","20:00","Al-Taawon","Al-Raed",2,0,"2015-2016"
67,"10.12.2015","17:30","Al Khaleej","Al-Nassr",1,1,"2015-2016"
68,"10.12.2015","20:00","Al-Ittihad FC","Hajer",5,0,"2015-2016"
69,"10.12.2015","20:15","Al-Hilal","Al Ahli SC",1,2,"2015-2016"
70,"11.12.2015","17:30","Al Qadisiya","Al-Fateh",2,1,"2015-2016"
71,"11.12.2015","20:00","Al Wehda","Al-Shabab",2,1,"2015-2016"
72,"14.12.2015","17:30","Hajer","Al-Hilal",1,5,"2015-2016"
73,"14.12.2015","17:45","Al-Shabab","Al-Faisaly",0,1,"2015-2016"
74,"14.12.2015","20:00","Al-Nassr","Al-Ittihad FC",3,0,"2015-2016"
75,"14.12.2015","20:00","Al Ahli SC","Al-Raed",3,1,"2015-2016"
76,"15.12.2015","17:30","Al Khaleej","Al Qadisiya",0,0,"2015-2016"
77,"15.12.2015","17:55","Al-Taawon","Al Wehda",4,2,"2015-2016"
78,"15.12.2015","20:00","Najran","Al-Fateh",1,3,"2015-2016"
79,"19.12.2015","17:30","Al Qadisiya","Hajer",1,1,"2015-2016"
80,"19.12.2015","17:50","Al-Faisaly","Al-Hilal",0,1,"2015-2016"
81,"19.12.2015","20:15","Al-Shabab","Al-Nassr",1,0,"2015-2016"
82,"20.12.2015","15:15","Al-Raed","Najran",2,3,"2015-2016"
83,"20.12.2015","17:30","Al-Fateh","Al Ahli SC",0,2,"2015-2016"
84,"20.12.2015","20:15","Al-Ittihad FC","Al-Taawon",4,1,"2015-2016"
85,"20.12.2015","20:15","Al Wehda","Al Khaleej",0,0,"2015-2016"
86,"24.12.2015","20:00","Al-Nassr","Al-Hilal",1,2,"2015-2016"
87,"24.12.2015","20:00","Al Ahli SC","Al Qadisiya",2,0,"2015-2016"
88,"25.12.2015","15:15","Al-Faisaly","Al-Fateh",1,2,"2015-2016"
89,"25.12.2015","17:35","Hajer","Al-Raed",1,2,"2015-2016"
90,"25.12.2015","20:00","Al-Shabab","Al-Taawon",0,1,"2015-2016"
91,"25.12.2015","20:00","Al Wehda","Al-Ittihad FC",0,2,"2015-2016"
92,"27.01.2016","18:00","Hajer","Al-Nassr",0,1,"2015-2016"
93,"27.01.2016","20:30","Al Wehda","Al-Hilal",1,3,"2015-2016"
94,"28.01.2016","15:45","Al-Raed","Al-Shabab",0,1,"2015-2016"
95,"28.01.2016","18:15","Al-Faisaly","Al Qadisiya",1,0,"2015-2016"
96,"28.01.2016","20:30","Al Ahli SC","Al-Taawon",2,2,"2015-2016"
97,"29.01.2016","18:00","Al-Fateh","Al Khaleej",0,0,"2015-2016"
98,"29.01.2016","20:30","Al-Ittihad FC","Najran",1,0,"2015-2016"
99,"04.02.2016","18:20","Al-Nassr","Al Qadisiya",0,0,"2015-2016"
100,"04.02.2016","20:30","Al-Ittihad FC","Al-Raed",6,2,"2015-2016"
101,"05.02.2016","18:20","Al-Hilal","Al-Fateh",3,3,"2015-2016"
102,"05.02.2016","20:30","Al Ahli SC","Al Khaleej",1,1,"2015-2016"
103,"06.02.2016","15:55","Al-Taawon","Al-Faisaly",3,1,"2015-2016"
104,"06.02.2016","18:20","Al-Shabab","Hajer",3,1,"2015-2016"
105,"06.02.2016","18:50","Najran","Al Wehda",2,2,"2015-2016"
106,"10.02.2016","18:10","Al Khaleej","Al-Shabab",1,2,"2015-2016"
107,"10.02.2016","20:40","Al Wehda","Al Ahli SC",0,1,"2015-2016"
108,"11.02.2016","18:10","Al Qadisiya","Al-Taawon",1,2,"2015-2016"
109,"11.02.2016","18:35","Al-Raed","Al-Hilal",0,1,"2015-2016"
110,"11.02.2016","20:40","Najran","Al-Nassr",4,3,"2015-2016"
111,"12.02.2016","18:10","Hajer","Al-Fateh",1,0,"2015-2016"
112,"13.02.2016","18:30","Al-Faisaly","Al-Ittihad FC",1,3,"2015-2016"
113,"15.02.2016","18:40","Al-Taawon","Al-Hilal",1,0,"2015-2016"
114,"15.02.2016","20:40","Al-Nassr","Al Ahli SC",1,1,"2015-2016"
115,"18.02.2016","18:30","Al-Shabab","Najran",3,2,"2015-2016"
116,"18.02.2016","20:40","Al-Ittihad FC","Al Qadisiya",1,1,"2015-2016"
117,"20.02.2016","18:15","Al-Fateh","Al-Raed",1,0,"2015-2016"
118,"20.02.2016","18:15","Al Khaleej","Hajer",0,1,"2015-2016"
119,"20.02.2016","20:40","Al-Faisaly","Al Wehda",2,1,"2015-2016"
120,"25.02.2016","18:30","Al-Shabab","Al-Fateh",1,0,"2015-2016"
121,"25.02.2016","18:40","Al-Taawon","Al Khaleej",2,3,"2015-2016"
122,"26.02.2016","18:20","Hajer","Al-Faisaly",0,1,"2015-2016"
123,"26.02.2016","18:40","Al-Raed","Al Qadisiya",2,1,"2015-2016"
124,"26.02.2016","20:40","Al-Nassr","Al Wehda",1,1,"2015-2016"
125,"27.02.2016","20:20","Al Ahli SC","Najran",1,2,"2015-2016"
126,"27.02.2016","20:45","Al-Hilal","Al-Ittihad FC",0,1,"2015-2016"
127,"04.03.2016","18:25","Al Khaleej","Al-Raed",1,0,"2015-2016"
128,"04.03.2016","20:45","Najran","Al-Taawon",1,1,"2015-2016"
129,"04.03.2016","20:45","Al Wehda","Hajer",1,0,"2015-2016"
130,"05.03.2016","18:45","Al-Faisaly","Al-Nassr",2,2,"2015-2016"
131,"05.03.2016","20:45","Al-Ittihad FC","Al-Fateh",0,0,"2015-2016"
132,"06.03.2016","18:25","Al Qadisiya","Al-Hilal",0,0,"2015-2016"
133,"06.03.2016","20:45","Al Ahli SC","Al-Shabab",3,1,"2015-2016"
134,"10.03.2016","20:30","Al-Hilal","Al-Nassr",2,0,"2015-2016"
135,"11.03.2016","18:25","Al Qadisiya","Al Ahli SC",0,2,"2015-2016"
136,"11.03.2016","19:10","Najran","Al Khaleej",2,3,"2015-2016"
137,"11.03.2016","20:45","Al-Taawon","Al-Shabab",4,0,"2015-2016"
138,"12.03.2016","18:25","Al-Fateh","Al-Faisaly",2,1,"2015-2016"
139,"12.03.2016","18:50","Al-Raed","Hajer",2,1,"2015-2016"
140,"12.03.2016","20:45","Al-Ittihad FC","Al Wehda",0,2,"2015-2016"
141,"01.04.2016","19:00","Al-Raed","Al-Faisaly",5,0,"2015-2016"
142,"01.04.2016","21:00","Al-Nassr","Al-Taawon",3,2,"2015-2016"
143,"01.04.2016","21:00","Al Wehda","Al-Fateh",1,3,"2015-2016"
144,"02.04.2016","18:35","Al Khaleej","Al-Hilal",0,3,"2015-2016"
145,"02.04.2016","21:00","Al Ahli SC","Al-Ittihad FC",4,2,"2015-2016"
146,"03.04.2016","18:35","Hajer","Najran",1,2,"2015-2016"
147,"03.04.2016","21:00","Al-Shabab","Al Qadisiya",0,2,"2015-2016"
148,"07.04.2016","21:00","Al Wehda","Al-Raed",3,1,"2015-2016"
149,"08.04.2016","18:40","Al Qadisiya","Najran",4,2,"2015-2016"
150,"08.04.2016","21:00","Al-Taawon","Hajer",4,0,"2015-2016"
151,"09.04.2016","18:40","Al-Fateh","Al-Nassr",2,1,"2015-2016"
152,"09.04.2016","18:55","Al-Faisaly","Al Ahli SC",1,2,"2015-2016"
153,"09.04.2016","21:00","Al-Ittihad FC","Al Khaleej",4,1,"2015-2016"
154,"09.04.2016","21:00","Al-Hilal","Al-Shabab",1,1,"2015-2016"
155,"15.04.2016","18:55","Al-Nassr","Al-Raed",1,2,"2015-2016"
156,"15.04.2016","21:10","Najran","Al-Hilal",2,3,"2015-2016"
157,"16.04.2016","18:45","Hajer","Al Ahli SC",0,1,"2015-2016"
158,"16.04.2016","18:45","Al Khaleej","Al-Faisaly",2,1,"2015-2016"
159,"16.04.2016","21:10","Al-Shabab","Al-Ittihad FC",1,2,"2015-2016"
160,"17.04.2016","18:45","Al Qadisiya","Al Wehda",1,1,"2015-2016"
161,"17.04.2016","21:00","Al-Taawon","Al-Fateh",1,2,"2015-2016"
162,"22.04.2016","18:55","Al-Shabab","Al Wehda",1,1,"2015-2016"
163,"22.04.2016","19:00","Al-Faisaly","Najran",2,2,"2015-2016"
164,"22.04.2016","21:10","Al-Raed","Al-Taawon",1,1,"2015-2016"
165,"23.04.2016","19:00","Al-Nassr","Al Khaleej",1,1,"2015-2016"
166,"24.04.2016","18:45","Hajer","Al-Ittihad FC",0,5,"2015-2016"
167,"24.04.2016","21:15","Al Ahli SC","Al-Hilal",3,1,"2015-2016"
168,"25.04.2016","18:45","Al-Fateh","Al Qadisiya",2,2,"2015-2016"
169,"08.05.2016","21:00","Al-Raed","Al Ahli SC",2,5,"2015-2016"
170,"08.05.2016","21:00","Al-Ittihad FC","Al-Nassr",0,5,"2015-2016"
171,"08.05.2016","21:00","Al-Hilal","Hajer",4,1,"2015-2016"
172,"08.05.2016","21:00","Al-Fateh","Najran",3,1,"2015-2016"
173,"08.05.2016","21:00","Al-Faisaly","Al-Shabab",0,0,"2015-2016"
174,"08.05.2016","21:00","Al Wehda","Al-Taawon",2,1,"2015-2016"
175,"08.05.2016","21:00","Al Qadisiya","Al Khaleej",2,0,"2015-2016"
176,"12.05.2016","19:10","Al-Hilal","Al-Faisaly",0,0,"2015-2016"
177,"13.05.2016","21:00","Al-Taawon","Al-Ittihad FC",2,1,"2015-2016"
178,"13.05.2016","21:00","Al-Nassr","Al-Shabab",1,2,"2015-2016"
179,"13.05.2016","21:00","Al Ahli SC","Al-Fateh",3,2,"2015-2016"
180,"14.05.2016","18:55","Al Khaleej","Al Wehda",1,4,"2015-2016"
181,"14.05.2016","20:45","Najran","Al-Raed",3,3,"2015-2016"
182,"14.05.2016","20:45","Hajer","Al Qadisiya",0,2,"2015-2016"
183,"19.05.2016","20:45","Al Batin","Al-Raed",2,1,"2015-2016"
184,"26.05.2016","20:45","Al-Raed","Al Batin",4,1,"2015-2016"
1,"11.08.2016","19:10","Al-Shabab","Al Qadisiya",0,0,"2016-2017"
2,"11.08. 2016","21:05","Al-Raed","Al-Ittihad FC",2,3,"2016-2017"
3,"12.08.2016","19:10","Al-Faisaly","Al Khaleej",3,1,"2016-2017"
4,"12.08.2016","21:05","Al-Nassr","Al-Fateh",4,1,"2016-2017"
5,"12.08.2016","21:05","Al Wehda","Al-Taawon",3,2,"2016-2017"
6,"13.08.2016","20:45","Al-Hilal","Al Batin",2,0,"2016-2017"
7,"14.08.2016","20:45","Al-Ettifaq","Al Ahli SC",1,4,"2016-2017"
8,"18.08.2016","20:45","Al-Raed","Al Wehda",3,1,"2016-2017"
9,"19.08.2016","18:50","Al Qadisiya","Al-Faisaly",1,1,"2016-2017"
10,"19.08.2016","21:05","Al-Taawon","Al-Hilal",0,2,"2016-2017"
11,"20.08.2016","19:10","Al Batin","Al-Shabab",1,0,"2016-2017"
12,"20.08.2016","21:05","Al-Fateh","Al Ahli SC",0,1,"2016-2017"
13,"20.08.2016","21:05","Al-Ettifaq","Al-Nassr",1,0,"2016-2017"
14,"20.08.2016","21:05","Al Khaleej","Al-Ittihad FC",2,3,"2016-2017"
15,"16.09.2016","18:25","Al Khaleej","Al Batin",2,2,"2016-2017"
16,"16.09.2016","18:45","Al-Taawon","Al-Raed",2,1,"2016-2017"
17,"16.09.2016","20:45","Al-Hilal","Al-Ettifaq",1,2,"2016-2017"
18,"17.09.2016","18:40","Al-Faisaly","Al-Fateh",0,0,"2016-2017"
19,"17.09.2016","20:45","Al-Nassr","Al Qadisiya",1,0,"2016-2017"
20,"18.09.2016","20:45","Al-Shabab","Al Ahli SC",3,2,"2016-2017"
21,"18.09.2016","20:45","Al Wehda","Al-Ittihad FC",3,5,"2016-2017"
22,"21.09.2016","20:25","Al-Ettifaq","Al Batin",2,1,"2016-2017"
23,"22.09.2016","18:40","Al-Raed","Al-Fateh",3,2,"2016-2017"
24,"22.09.2016","20:25","Al-Nassr","Al Khaleej",0,1,"2016-2017"
25,"22.09.2016","20:25","Al Qadisiya","Al-Hilal",1,2,"2016-2017"
26,"23.09.2016","18:30","Al-Shabab","Al-Taawon",2,2,"2016-2017"
27,"23.09.2016","18:35","Al-Faisaly","Al Wehda",2,1,"2016-2017"
28,"23.09.2016","20:45","Al Ahli SC","Al-Ittihad FC",1,1,"2016-2017"
29,"14.10.2016","17:55","Al-Fateh","Al-Ettifaq",0,0,"2016-2017"
30,"14.10.2016","17:55","Al Khaleej","Al-Shabab",1,2,"2016-2017"
31,"14.10.2016","18:10","Al Batin","Al-Raed",4,0,"2016-2017"
32,"14.10.2016","20:15","Al-Ittihad FC","Al-Taawon",3,1,"2016-2017"
33,"15.10.2016","20:00","Al-Hilal","Al-Faisaly",4,0,"2016-2017"
34,"15.10.2016","20:00","Al Wehda","Al-Nassr",0,3,"2016-2017"
35,"15.10.2016","20:00","Al Ahli SC","Al Qadisiya",2,0,"2016-2017"
36,"20.10.2016","18:10","Al-Taawon","Al-Fateh",0,0,"2016-2017"
37,"20.10.2016","20:00","Al Khaleej","Al-Hilal",1,6,"2016-2017"
38,"20.10.2016","20:15","Al-Ittihad FC","Al-Shabab",0,1,"2016-2017"
39,"21.10.2016","17:45","Al-Ettifaq","Al Wehda",1,3,"2016-2017"
40,"21.10.2016","18:00","Al Batin","Al Qadisiya",1,1,"2016-2017"
41,"21.10.2016","18:10","Al-Raed","Al-Faisaly",1,0,"2016-2017"
42,"21.10.2016","20:15","Al-Nassr","Al Ahli SC",1,0,"2016-2017"
43,"28.10.2016","17:40","Al Qadisiya","Al-Taawon",0,1,"2016-2017"
44,"28.10.2016","18:00","Al-Raed","Al-Ettifaq",2,0,"2016-2017"
45,"28.10.2016","20:00","Al-Hilal","Al-Ittihad FC",0,2,"2016-2017"
46,"29.10.2016","18:10","Al-Shabab","Al-Fateh",2,0,"2016-2017"
47,"29.10.2016","19:50","Al-Faisaly","Al-Nassr",1,2,"2016-2017"
48,"29.10.2016","19:50","Al Wehda","Al Batin",5,1,"2016-2017"
49,"29.10.2016","20:00","Al Ahli SC","Al Khaleej",4,1,"2016-2017"
50,"03.11.2016","17:55","Al-Faisaly","Al-Shabab",0,1,"2016-2017"
51,"03.11.2016","19:50","Al-Nassr","Al-Raed",3,1,"2016-2017"
52,"03.11.2016","20:00","Al-Ittihad FC","Al Batin",2,0,"2016-2017"
53,"04.11.2016","17:35","Al Qadisiya","Al Khaleej",0,0,"2016-2017"
54,"04.11.2016","20:00","Al Ahli SC","Al Wehda",4,0,"2016-2017"
55,"05.11.2016","17:35","Al-Ettifaq","Al-Taawon",3,0,"2016-2017"
56,"05.11.2016","20:00","Al-Fateh","Al-Hilal",0,1,"2016-2017"
57,"18.11.2016","17:35","Al-Fateh","Al Qadisiya",1,1,"2016-2017"
58,"18.11.2016","19:45","Al-Taawon","Al-Faisaly",0,0,"2016-2017"
59,"19.11.2016","17:35","Al Khaleej","Al-Ettifaq",1,2,"2016-2017"
60,"19.11.2016","19:45","Al-Shabab","Al Wehda",0,0,"2016-2017"
61,"20.11.2016","19:45","Al-Hilal","Al-Raed",2,1,"2016-2017"
62,"20.11.2016","19:45","Al Batin","Al Ahli SC",0,1,"2016-2017"
63,"20.11.2016","19:55","Al-Ittihad FC","Al-Nassr",0,1,"2016-2017"
64,"24.11.2016","17:30","Al-Ettifaq","Al-Faisaly",3,1,"2016-2017"
65,"24.11.2016","19:40","Al Wehda","Al Khaleej",1,2,"2016-2017"
66,"25.11.2016","17:40","Al Batin","Al-Fateh",1,1,"2016-2017"
67,"25.11.2016","17:50","Al-Taawon","Al-Nassr",2,1,"2016-2017"
68,"25.11.2016","20:00","Al Ahli SC","Al-Hilal",1,2,"2016-2017"
69,"26.11.2016","17:55","Al-Raed","Al-Shabab",2,2,"2016-2017"
70,"26.11.2016","19:50","Al Qadisiya","Al-Ittihad FC",0,3,"2016-2017"
71,"01.12.2016","19:40","Al-Nassr","Al Batin",4,0,"2016-2017"
72,"01.12.2016","19:40","Al-Faisaly","Al Ahli SC",3,6,"2016-2017"
73,"02.12.2016","17:25","Al Qadisiya","Al-Raed",3,0,"2016-2017"
74,"02.12.2016","19:40","Al-Ittihad FC","Al-Ettifaq",4,1,"2016-2017"
75,"02.12.2016","19:55","Al-Hilal","Al-Shabab",3,0,"2016-2017"
76,"03.12.2016","14:45","Al-Fateh","Al Wehda",4,2,"2016-2017"
77,"03.12.2016","17:30","Al Khaleej","Al-Taawon",0,1,"2016-2017"
78,"08.12.2016","17:40","Al Batin","Al-Taawon",1,0,"2016-2017"
79,"08.12.2016","19:55","Al-Hilal","Al Wehda",6,0,"2016-2017"
80,"09.12.2016","17:30","Al-Ettifaq","Al Qadisiya",2,2,"2016-2017"
81,"09.12.2016","19:55","Al-Shabab","Al-Nassr",1,1,"2016-2017"
82,"09.12.2016","19:55","Al Ahli SC","Al-Raed",1,0,"2016-2017"
83,"10.12.2016","14:55","Al-Fateh","Al Khaleej",2,4,"2016-2017"
84,"10.12.2016","19:45","Al-Faisaly","Al-Ittihad FC",2,4,"2016-2017"
85,"14.12.2016","19:45","Al Wehda","Al Qadisiya",2,5,"2016-2017"
86,"15.12.2016","15:05","Al Batin","Al-Faisaly",0,0,"2016-2017"
87,"15.12.2016","17:50","Al-Shabab","Al-Ettifaq",1,1,"2016-2017"
88,"16.12.2016","17:55","Al-Raed","Al Khaleej",3,2,"2016-2017"
89,"16.12.2016","20:00","Al-Nassr","Al-Hilal",1,1,"2016-2017"
90,"17.12.2016","18:25","Al-Ittihad FC","Al-Fateh",3,2,"2016-2017"
91,"17.12.2016","19:45","Al-Taawon","Al Ahli SC",2,3,"2016-2017"
92,"21.12.2016","17:30","Al Qadisiya","Al-Shabab",1,1,"2016-2017"
93,"21.12.2016","17:40","Al Batin","Al-Hilal",0,2,"2016-2017"
94,"21.12.2016","19:45","Al-Fateh","Al-Nassr",1,2,"2016-2017"
95,"22.12.2016","17:30","Al Khaleej","Al-Faisaly",1,1,"2016-2017"
96,"22.12.2016","19:45","Al Ahli SC","Al-Ettifaq",4,1,"2016-2017"
97,"23.12.2016","18:00","Al-Taawon","Al Wehda",3,1,"2016-2017"
98,"23.12.2016","19:45","Al-Ittihad FC","Al-Raed",3,2,"2016-2017"
99,"29.12.2016","18:00","Al-Faisaly","Al Qadisiya",3,2,"2016-2017"
100,"30.12.2016","17:55","Al-Shabab","Al Batin",3,1,"2016-2017"
101,"30.12.2016","19:50","Al Wehda","Al-Raed",2,1,"2016-2017"
102,"31.12.2016","19:50","Al-Hilal","Al-Taawon",4,2,"2016-2017"
103,"31.12.2016","19:50","Al Ahli SC","Al-Fateh",2,0,"2016-2017"
104,"01.01.2017","19:50","Al-Nassr","Al-Ettifaq",2,0,"2016-2017"
105,"03.01.2017","19:50","Al-Ittihad FC","Al Khaleej",1,1,"2016-2017"
106,"26.01.2017","18:25","Al-Raed","Al-Taawon",3,2,"2016-2017"
107,"26.01.2017","20:15","Al Qadisiya","Al-Nassr",3,2,"2016-2017"
108,"27.01.2017","15:35","Al Batin","Al Khaleej",1,0,"2016-2017"
109,"27.01.2017","18:05","Al-Fateh","Al-Faisaly",1,0,"2016-2017"
110,"27.01.2017","20:15","Al Ahli SC","Al-Shabab",3,1,"2016-2017"
111,"28.01.2017","20:15","Al-Ittihad FC","Al Wehda",1,0,"2016-2017"
112,"28.01.2017","20:15","Al-Ettifaq","Al-Hilal",0,1,"2016-2017"
113,"01.02.2017","18:05","Al-Fateh","Al-Raed",3,1,"2016-2017"
114,"01.02.2017","18:25","Al-Taawon","Al-Shabab",2,0,"2016-2017"
115,"02.02.2017","15:35","Al Batin","Al-Ettifaq",2,0,"2016-2017"
116,"02.02.2017","20:20","Al-Hilal","Al Qadisiya",1,1,"2016-2017"
117,"03.02.2017","20:20","Al-Ittihad FC","Al Ahli SC",1,4,"2016-2017"
118,"04.02.2017","18:50","Al Wehda","Al-Faisaly",0,1,"2016-2017"
119,"04.02.2017","20:20","Al Khaleej","Al-Nassr",0,3,"2016-2017"
120,"09.02.2017","20:15","Al-Faisaly","Al-Hilal",0,2,"2016-2017"
121,"09.02.2017","20:15","Al Qadisiya","Al Ahli SC",4,1,"2016-2017"
122,"10.02.2017","18:25","Al-Shabab","Al Khaleej",1,1,"2016-2017"
123,"10.02.2017","20:15","Al-Nassr","Al Wehda",2,1,"2016-2017"
124,"11.02.2017","18:10","Al-Ettifaq","Al-Fateh",2,2,"2016-2017"
125,"11.02.2017","20:15","Al-Taawon","Al-Ittihad FC",1,2,"2016-2017"
126,"12.02.2017","18:35","Al-Raed","Al Batin",2,1,"2016-2017"
127,"16.02.2017","18:15","Al-Fateh","Al-Taawon",0,2,"2016-2017"
128,"16.02.2017","20:25","Al-Hilal","Al Khaleej",4,0,"2016-2017"
129,"17.02.2017","18:35","Al-Faisaly","Al-Raed",1,1,"2016-2017"
130,"17.02.2017","20:25","Al Wehda","Al-Ettifaq",2,1,"2016-2017"
131,"17.02.2017","20:25","Al Ahli SC","Al-Nassr",0,2,"2016-2017"
132,"18.02.2017","18:15","Al Qadisiya","Al Batin",1,1,"2016-2017"
133,"18.02.2017","20:25","Al-Shabab","Al-Ittihad FC",0,2,"2016-2017"
134,"02.03.2017","20:30","Al-Ettifaq","Al-Raed",0,1,"2016-2017"
135,"03.03.2017","18:35","Al Batin","Al Wehda",1,1,"2016-2017"
136,"03.03.2017","20:30","Al-Nassr","Al-Faisaly",0,0,"2016-2017"
137,"04.03.2017","18:25","Al-Fateh","Al-Shabab",1,1,"2016-2017"
138,"04.03.2017","18:45","Al-Taawon","Al Qadisiya",1,3,"2016-2017"
139,"04.03.2017","20:30","Al Khaleej","Al Ahli SC",2,2,"2016-2017"
140,"05.03.2017","20:30","Al-Ittihad FC","Al-Hilal",1,3,"2016-2017"
141,"09.03.2017","18:50","Al-Taawon","Al-Ettifaq",1,0,"2016-2017"
142,"09.03.2017","20:35","Al-Hilal","Al-Fateh",1,0,"2016-2017"
143,"09.03.2017","20:35","Al Wehda","Al Ahli SC",1,3,"2016-2017"
144,"11.03.2017","18:25","Al Khaleej","Al Qadisiya",2,1,"2016-2017"
145,"11.03.2017","20:35","Al-Shabab","Al-Faisaly",1,2,"2016-2017"
146,"14.03.2017","18:40","Al Batin","Al-Ittihad FC",0,1,"2016-2017"
147,"14.03.2017","20:35","Al-Raed","Al-Nassr",0,1,"2016-2017"
148,"06.04.2017","18:40","Al Qadisiya","Al-Fateh",1,2,"2016-2017"
149,"06.04.2017","19:00","Al-Faisaly","Al-Taawon",1,0,"2016-2017"
150,"06.04.2017","20:40","Al-Raed","Al-Hilal",0,3,"2016-2017"
151,"07.04.2017","20:40","Al-Nassr","Al-Ittihad FC",1,1,"2016-2017"
152,"07.04.2017","20:40","Al Ahli SC","Al Batin",1,1,"2016-2017"
153,"08.04.2017","18:40","Al-Ettifaq","Al Khaleej",3,1,"2016-2017"
154,"08.04.2017","20:40","Al Wehda","Al-Shabab",1,2,"2016-2017"
155,"13.04.2017","19:00","Al-Faisaly","Al-Ettifaq",3,3,"2016-2017"
156,"13.04.2017","20:45","Al-Shabab","Al-Raed",1,2,"2016-2017"
157,"14.04.2017","18:45","Al Khaleej","Al Wehda",4,2,"2016-2017"
158,"14.04.2017","20:45","Al-Ittihad FC","Al Qadisiya",4,2,"2016-2017"
159,"15.04.2017","18:45","Al-Fateh","Al Batin",3,2,"2016-2017"
160,"15.04.2017","20:45","Al-Nassr","Al-Taawon",2,1,"2016-2017"
161,"15.04.2017","20:45","Al-Hilal","Al Ahli SC",0,0,"2016-2017"
162,"20.04.2017","19:10","Al-Taawon","Al Khaleej",0,0,"2016-2017"
163,"20.04.2017","20:45","Al-Shabab","Al-Hilal",1,2,"2016-2017"
164,"20.04.2017","20:45","Al Wehda","Al-Fateh",1,2,"2016-2017"
165,"20.04.2017","20:45","Al Ahli SC","Al-Faisaly",2,1,"2016-2017"
166,"21.04.2017","19:05","Al Batin","Al-Nassr",4,3,"2016-2017"
167,"21.04.2017","19:10","Al-Raed","Al Qadisiya",2,1,"2016-2017"
168,"21.04.2017","20:45","Al-Ettifaq","Al-Ittihad FC",1,4,"2016-2017"
169,"29.04.2017","20:50","Al-Taawon","Al Batin",4,3,"2016-2017"
170,"29.04.2017","20:50","Al-Nassr","Al-Shabab",1,0,"2016-2017"
171,"29.04.2017","20:50","Al-Ittihad FC","Al-Faisaly",2,2,"2016-2017"
172,"29.04.2017","20:50","Al Wehda","Al-Hilal",1,3,"2016-2017"
173,"29.04.2017","20:50","Al Qadisiya","Al-Ettifaq",1,1,"2016-2017"
174,"29.04.2017","20:50","Al Khaleej","Al-Fateh",1,1,"2016-2017"
175,"30.04.2017","20:30","Al-Raed","Al Ahli SC",1,3,"2016-2017"
176,"03.05.2017","18:55","Al-Ettifaq","Al-Shabab",0,1,"2016-2017"
177,"04.05.2017","20:50","Al-Hilal","Al-Nassr",5,1,"2016-2017"
178,"04.05.2017","20:50","Al-Fateh","Al-Ittihad FC",4,1,"2016-2017"
179,"04.05.2017","20:50","Al-Faisaly","Al Batin",2,2,"2016-2017"
180,"04.05.2017","20:50","Al Qadisiya","Al Wehda",3,1,"2016-2017"
181,"04.05.2017","20:50","Al Khaleej","Al-Raed",1,2,"2016-2017"
182,"04.05.2017","20:50","Al Ahli SC","Al-Taawon",2,1,"2016-2017"
183,"11.05.2017","19:15","Najran","Al Batin",0,1,"2016-2017"
184,"16.05.2017","19:20","Al Batin","Najran",2,2,"2016-2017"
1,"10.08.2017","19:00","Al-Fateh","Al-Taawon",1,4,"2017-2018"
2,"10.08.2017","20:55","Al-Hilal","Al Feiha",2,1,"2017-2018"
3,"11.08.2017","19:00","Al Qadisiya","Al-Raed",2,1,"2017-2018"
4,"11.08.2017","20:55","Al Batin","Al-Ittihad FC",1,3,"2017-2018"
5,"11.08.2017","20:55","Al-Ettifaq","Al Ahli SC",2,1,"2017-2018"
6,"12.08.2017","19:10","Al-Shabab","Ohod",1,2,"2017-2018"
7,"12.08.2017","20:55","Al-Faisaly","Al-Nassr",1,3,"2017-2018"
